STT,ITEM,VENDOR,DESCR,STATUS
62,3055281,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH
63,3055284,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH
64,3055286,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH
65,3055287,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH
66,3055288,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH
67,3055289,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH
68,3055291,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH
69,3062359,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH
94,3103381,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH
95,3103382,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH
491,3311633,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH
520,3371132,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH
223,3397927,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH
262,3444794,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH
513,3392119,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH
514,3392121,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH
541,3455946,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH
1,3436535,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
4,3507857,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
5,3507858,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
9,3517501,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
10,3517622,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
12,3554245,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
13,3550852,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
17,3554248,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
19,3552977,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
22,3547927,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
26,3552978,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
27,3552976,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
33,3554249,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
35,3554247,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
41,3550848,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
42,3550850,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
45,3519234,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
46,3404156,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
47,3507586,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
53,3437855,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
54,3437856,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
55,3438238,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
56,3519560,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
57,3519561,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
84,3509230,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
85,3509231,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
86,3509233,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
87,3509234,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
88,3509236,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
98,3283554,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
102,3368148,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
103,3368149,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
104,3368150,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
105,3368151,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
110,3476194,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
111,3476195,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
112,3476196,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
113,3476198,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
114,3476199,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
115,3476200,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
116,3476201,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
117,3476202,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
119,3543870,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
120,3544246,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
121,3218628,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
122,3517621,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
123,3541545,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
125,3557783,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
127,3557782,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
128,3554246,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
133,3448562,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
134,3448564,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
135,3419927,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
141,3385771,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
157,3520753,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
164,3295021,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
165,3295023,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
177,3412002,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
181,3403438,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
185,3459960,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
186,3556029,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
187,3490336,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
199,3055152,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
200,3055153,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
201,3055154,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
202,3055204,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
207,3260451,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
208,3260454,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
211,3314547,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
217,3382940,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
218,3382941,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
230,3031987,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
231,3031988,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
232,3031989,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
233,3032106,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
241,3457912,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
242,3457913,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
243,3457914,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
244,3457915,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
252,3279756,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
253,3279757,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
254,3325237,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
261,3444318,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
274,3389078,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
275,3493317,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
276,3493318,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
281,3390753,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
282,3390754,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
283,3390755,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
295,3422584,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
296,3392947,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
301,3555039,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
303,3134265,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
312,3479552,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
315,3434401,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
316,3434402,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
317,3434403,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
318,3434405,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
326,3515856,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
