STT,ITEM,VENDOR,DESCR,STATUS
38,3515339,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
320,3515340,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
321,3515341,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
322,3515342,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
323,3515343,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
368,3521131,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
624,3537271,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
676,3525114,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
677,3525115,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
681,3527980,17733,100-CTY TNHH SX& XD TMDVXNK VINA-NR,
81,3501639,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,
82,3501640,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,
83,3501641,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,
366,3521129,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,
367,3521130,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,
548,3501642,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,
678,3525116,20484,100-CTYCP DUOC PHAM&SINH HOC YTE-NR,
483,3524461,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,
484,3524462,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,
806,3537640,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,
861,3503301,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,
862,3503302,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,
863,3503303,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,
271,3140316,14530,110-Co so Nguyen Van Sau,
388,3452211,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,
389,3452217,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,
390,3452218,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,
391,3452220,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,
392,3452222,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,
393,3452223,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,
413,3500596,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,
471,3523764,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,
472,3523765,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,
473,3523766,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,
528,3473446,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,
680,3527979,17559,110-CONG TY TNHH NTPM(VIET NAM)-NR,
294,3525066,21076,110-Cong Ty TNHH SALACOS -NR,
302,3535758,21076,110-Cong Ty TNHH SALACOS -NR,
461,3530731,21076,110-Cong Ty TNHH SALACOS -NR,
462,3530732,21076,110-Cong Ty TNHH SALACOS -NR,
463,3530733,21076,110-Cong Ty TNHH SALACOS -NR,
464,3530734,21076,110-Cong Ty TNHH SALACOS -NR,
613,3535759,21076,110-Cong Ty TNHH SALACOS -NR,
614,3535760,21076,110-Cong Ty TNHH SALACOS -NR,
615,3535761,21076,110-Cong Ty TNHH SALACOS -NR,
673,3525067,21076,110-Cong Ty TNHH SALACOS -NR,
674,3525068,21076,110-Cong Ty TNHH SALACOS -NR,
675,3525069,21076,110-Cong Ty TNHH SALACOS -NR,
23,3463102,15790,110-CTy CP HMP My Hao,
138,3132145,15790,110-CTy CP HMP My Hao,
139,3132228,15790,110-CTy CP HMP My Hao,
197,3054635,15790,110-CTy CP HMP My Hao,
285,3390942,15790,110-CTy CP HMP My Hao,
286,3390945,15790,110-CTy CP HMP My Hao,
304,3137587,15790,110-CTy CP HMP My Hao,
305,3137588,15790,110-CTy CP HMP My Hao,
306,3137589,15790,110-CTy CP HMP My Hao,
706,3466392,15790,110-CTy CP HMP My Hao,
707,3467305,15790,110-CTy CP HMP My Hao,
716,3110820,15790,110-CTy CP HMP My Hao,
717,3110821,15790,110-CTy CP HMP My Hao,
724,3463138,15790,110-CTy CP HMP My Hao,
725,3463139,15790,110-CTy CP HMP My Hao,
726,3463140,15790,110-CTy CP HMP My Hao,
727,3463141,15790,110-CTy CP HMP My Hao,
728,3463142,15790,110-CTy CP HMP My Hao,
729,3463143,15790,110-CTy CP HMP My Hao,
730,3463144,15790,110-CTy CP HMP My Hao,
731,3463145,15790,110-CTy CP HMP My Hao,
756,3007093,15790,110-CTy CP HMP My Hao,
28,3541459,15800,110-Cty TNHH 1TV Tri Hoi,
29,3541460,15800,110-Cty TNHH 1TV Tri Hoi,
39,3196366,15800,110-Cty TNHH 1TV Tri Hoi,
40,3196367,15800,110-Cty TNHH 1TV Tri Hoi,
154,3491953,15800,110-Cty TNHH 1TV Tri Hoi,
240,3285331,15800,110-Cty TNHH 1TV Tri Hoi,
434,3288046,15800,110-Cty TNHH 1TV Tri Hoi,
565,3541455,15800,110-Cty TNHH 1TV Tri Hoi,
633,3384314,15800,110-Cty TNHH 1TV Tri Hoi,
831,3541456,15800,110-Cty TNHH 1TV Tri Hoi,
832,3541457,15800,110-Cty TNHH 1TV Tri Hoi,
833,3541458,15800,110-Cty TNHH 1TV Tri Hoi,
834,3541461,15800,110-Cty TNHH 1TV Tri Hoi,
835,3541462,15800,110-Cty TNHH 1TV Tri Hoi,
843,3196362,15800,110-Cty TNHH 1TV Tri Hoi,
844,3196363,15800,110-Cty TNHH 1TV Tri Hoi,
845,3196365,15800,110-Cty TNHH 1TV Tri Hoi,
846,3196368,15800,110-Cty TNHH 1TV Tri Hoi,
847,3196370,15800,110-Cty TNHH 1TV Tri Hoi,
155,3008485,12483,110-Cty TNHH SXTM TyTy(HMP),
198,3054651,12483,110-Cty TNHH SXTM TyTy(HMP),
216,3123559,12483,110-Cty TNHH SXTM TyTy(HMP),
246,3008478,12483,110-Cty TNHH SXTM TyTy(HMP),
247,3008479,12483,110-Cty TNHH SXTM TyTy(HMP),
248,3008481,12483,110-Cty TNHH SXTM TyTy(HMP),
249,3008482,12483,110-Cty TNHH SXTM TyTy(HMP),
250,3008486,12483,110-Cty TNHH SXTM TyTy(HMP),
251,3008490,12483,110-Cty TNHH SXTM TyTy(HMP),
30,3422431,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,
101,3329700,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,
184,3372479,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,
268,3449108,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,
288,3493891,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,
289,3493892,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,
445,3372481,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,
597,3269076,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,
746,3422432,16506,110-CTyTNHHSXTMDVDaiPhuocThanh-NR,
126,3545292,16760,110-Cua Hang Hue Lam,
203,3257943,16760,110-Cua Hang Hue Lam,
204,3257947,16760,110-Cua Hang Hue Lam,
205,3257948,16760,110-Cua Hang Hue Lam,
299,3282741,16760,110-Cua Hang Hue Lam,
385,3314078,16760,110-Cua Hang Hue Lam,
511,3192268,16760,110-Cua Hang Hue Lam,
598,3271310,16760,110-Cua Hang Hue Lam,
696,3282735,16760,110-Cua Hang Hue Lam,
697,3282736,16760,110-Cua Hang Hue Lam,
698,3282737,16760,110-Cua Hang Hue Lam,
785,3545291,16760,110-Cua Hang Hue Lam,
858,3503165,16760,110-Cua Hang Hue Lam,
245,3008472,14653,110-DNTN Dai Phat,
6,3517119,15506,111-Cty Bot giat LIX-NR,
7,3517120,15506,111-Cty Bot giat LIX-NR,
8,3517121,15506,111-Cty Bot giat LIX-NR,
142,3386499,15506,111-Cty Bot giat LIX-NR,
143,3386500,15506,111-Cty Bot giat LIX-NR,
144,3386501,15506,111-Cty Bot giat LIX-NR,
145,3386502,15506,111-Cty Bot giat LIX-NR,
146,3386503,15506,111-Cty Bot giat LIX-NR,
147,3386504,15506,111-Cty Bot giat LIX-NR,
148,3386505,15506,111-Cty Bot giat LIX-NR,
149,3386506,15506,111-Cty Bot giat LIX-NR,
150,3386507,15506,111-Cty Bot giat LIX-NR,
151,3386508,15506,111-Cty Bot giat LIX-NR,
152,3386509,15506,111-Cty Bot giat LIX-NR,
153,3491227,15506,111-Cty Bot giat LIX-NR,
173,3295614,15506,111-Cty Bot giat LIX-NR,
179,3497823,15506,111-Cty Bot giat LIX-NR,
209,3314153,15506,111-Cty Bot giat LIX-NR,
210,3314154,15506,111-Cty Bot giat LIX-NR,
234,3250058,15506,111-Cty Bot giat LIX-NR,
235,3250059,15506,111-Cty Bot giat LIX-NR,
238,3284516,15506,111-Cty Bot giat LIX-NR,
386,3314147,15506,111-Cty Bot giat LIX-NR,
387,3452209,15506,111-Cty Bot giat LIX-NR,
406,3184818,15506,111-Cty Bot giat LIX-NR,
407,3184823,15506,111-Cty Bot giat LIX-NR,
408,3184824,15506,111-Cty Bot giat LIX-NR,
416,3160021,15506,111-Cty Bot giat LIX-NR,
417,3160022,15506,111-Cty Bot giat LIX-NR,
