STT,ITEM,VENDOR,DESCR,STATUS
11,3518223,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
18,3543335,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
21,3550808,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
24,3541465,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
25,3541466,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
31,3518675,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
32,3518676,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
36,3536487,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
37,3528752,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
48,3554236,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
80,3501372,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
118,3538419,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
124,3557777,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
129,3534601,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
182,3533694,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
183,3533695,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
279,3493423,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
280,3493424,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
297,3538906,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
298,3538907,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
319,3506580,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
327,3531392,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
338,3523140,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
339,3523141,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
427,3496126,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
428,3496127,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
448,3528748,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
449,3528749,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
450,3528750,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
508,3535085,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
577,3537737,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
594,3550806,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
608,3534020,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
609,3535084,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
612,3535608,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
621,3536484,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
622,3536485,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
623,3536486,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
644,3518674,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
645,3518677,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
655,3557778,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
753,3543334,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
804,3504123,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
805,3504124,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
807,3537715,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
809,3538420,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
819,3538908,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
836,3541467,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),
521,3477798,18833,100-Cong ty CP TD Kim Duc -NR,
522,3477799,18833,100-Cong ty CP TD Kim Duc -NR,
523,3477800,18833,100-Cong ty CP TD Kim Duc -NR,
529,3473447,18833,100-Cong ty CP TD Kim Duc -NR,
402,3480381,21018,100-Congty CP Phuc Long Heritage-NR,DANG KINH DOANH
770,3232249,21018,100-Congty CP Phuc Long Heritage-NR,DANG KINH DOANH
771,3232250,21018,100-Congty CP Phuc Long Heritage-NR,DANG KINH DOANH
73,3190990,11777,100-CT CP Nhua Rang Dong Long An-NR,
