STT,ITEM,VENDOR,DESCR,STATUS
1,3383606,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH
2,3383607,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH
3,3383608,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH
4,3383609,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH
5,3494100,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH
6,3494101,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH
7,3494102,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH
8,3494103,13468,100-CTY TNHH SAMRAN-NR,DANG KINH DOANH
9,3520312,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,DANG KINH DOANH
10,3520313,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,DANG KINH DOANH
11,3540798,20888,100-Cty CP SX TM Nhua Hoang Chau-NR,DANG KINH DOANH
12,3477798,18833,100-Cong ty CP TD Kim Duc -NR,KHONG KINH DOANH
13,3477799,18833,100-Cong ty CP TD Kim Duc -NR,KHONG KINH DOANH
14,3477800,18833,100-Cong ty CP TD Kim Duc -NR,DANG KINH DOANH
15,3473447,18833,100-Cong ty CP TD Kim Duc -NR,KHONG KINH DOANH
16,3190990,11777,100-CT CP Nhua Rang Dong Long An-NR,DANG KINH DOANH
17,3190991,11777,100-CT CP Nhua Rang Dong Long An-NR,KHONG KINH DOANH
18,3430483,11777,100-CT CP Nhua Rang Dong Long An-NR,DANG KINH DOANH
19,3430484,11777,100-CT CP Nhua Rang Dong Long An-NR,DANG KINH DOANH
20,3430485,11777,100-CT CP Nhua Rang Dong Long An-NR,DANG KINH DOANH
21,3217698,11777,100-CT CP Nhua Rang Dong Long An-NR,DANG KINH DOANH
22,3397927,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH
23,3444794,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH
24,3392119,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH
25,3392121,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH
26,3455946,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH
27,3426542,12995,100-CTy CP CB Go Duc Thanh-NR,DANG KINH DOANH
28,3426543,12995,100-CTy CP CB Go Duc Thanh-NR,DANG KINH DOANH
29,3436535,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
30,3507857,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
31,3507858,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
32,3517501,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
33,3517622,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
34,3554245,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
35,3550852,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
36,3554248,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
37,3552977,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
38,3547927,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
39,3552978,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
40,3552976,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
41,3554249,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
42,3554247,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
43,3550848,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
44,3550850,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
45,3519234,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
46,3404156,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
47,3507586,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
48,3437855,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
49,3437856,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
50,3438238,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
51,3519560,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
52,3519561,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
53,3509230,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
54,3509231,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
55,3509233,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
56,3509234,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
57,3509236,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
58,3283554,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
59,3368148,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
60,3368149,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
61,3368150,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
62,3368151,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH
63,3476194,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
64,3476195,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH
