STT,ITEM,VENDOR,DESCR,STATUS,,
32,3055281,10985,100-Cty TM&PT Cong Nghe Kolend,KHONG KINH DOANH,,
33,3055284,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,,
34,3055286,10985,100-Cty TM&PT Cong Nghe Kolend,KHONG KINH DOANH,,
35,3055287,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,,
36,3055288,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,,
37,3055289,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,,
38,3055291,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,,
39,3062359,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,,
40,3103381,10985,100-Cty TM&PT Cong Nghe Kolend,DANG KINH DOANH,,
41,3103382,10985,100-Cty TM&PT Cong Nghe Kolend,KHONG KINH DOANH,,
42,3311633,10985,100-Cty TM&PT Cong Nghe Kolend,KHONG KINH DOANH,,
43,3371132,10985,100-Cty TM&PT Cong Nghe Kolend,KHONG KINH DOANH,,
44,3392119,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH,,
45,3392121,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH,,
46,3397927,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH,,
47,3444794,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH,,
48,3455946,11011,100-CT TNHH SX Do Gia DungElmich-NR,DANG KINH DOANH,,
85,3011821,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
86,3011822,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
87,3011823,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
88,3012259,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
89,3012260,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
90,3012311,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
91,3031987,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
92,3031988,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
93,3031989,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
94,3032106,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
95,3055152,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
96,3055153,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
97,3055154,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
98,3055204,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
99,3065101,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
100,3065131,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
101,3081035,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
102,3134265,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
103,3168725,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
104,3168726,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
105,3168727,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
106,3168728,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
107,3168729,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
108,3168730,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
109,3168732,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
110,3218628,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
111,3260451,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
112,3260454,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
113,3279756,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
114,3279757,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
115,3281313,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
116,3281318,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
117,3281320,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
118,3281321,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
119,3281511,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
120,3282933,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
121,3283554,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
122,3288346,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
123,3295021,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
124,3295023,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
125,3300070,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
126,3300071,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
127,3312777,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
128,3312779,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
129,3312780,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
130,3312781,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
131,3314547,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
132,3325237,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
133,3328714,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
134,3342477,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
135,3342478,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
136,3342479,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
137,3344279,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
138,3362388,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
139,3368148,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
140,3368149,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
141,3368150,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
142,3368151,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
143,3368152,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
144,3382940,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
145,3382941,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
146,3385771,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
147,3389078,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,,
148,3390753,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
149,3390754,11773,110-CTy CP SX Nhua Duy Tan,KHONG KINH DOANH,,
